feature,seq,actor,action,expected,actual,pass,note
"工作許可證","2","62010003","加內容版本 PTW-mqosi57x-1","allow","allow (http 201) 1 row","true",""
"工作許可證","3","62010003","提交 PTW-mqosi57x-1","allow","allow (http 204)","true",""
"工作許可證","4","62000004","批核 PTW-mqosi57x-1 (安全主任)","allow","allow (http 200)","true",""
"工作許可證","5","62010001","批核 PTW-mqosi57x-1 (總承)","allow","allow (http 200)","true",""
"工作許可證","6","62020001","開單 PTW-mqosi57x-2","allow","allow (http 201) 1 row","true",""
"工作許可證","7","62020001","加內容版本 PTW-mqosi57x-2","allow","allow (http 201) 1 row","true",""
"工作許可證","8","62020001","提交 PTW-mqosi57x-2","allow","allow (http 204)","true",""
"工作許可證","9","62000004","批核 PTW-mqosi57x-2 (安全主任)","allow","allow (http 200)","true",""
"工作許可證","10","62010001","批核 PTW-mqosi57x-2 (總承)","allow","allow (http 200)","true",""
"工作許可證","11","62010002","開單 PTW-mqosi57x-3","allow","allow (http 201) 1 row","true",""
"工作許可證","12","62010002","加內容版本 PTW-mqosi57x-3","allow","allow (http 201) 1 row","true",""
"工作許可證","13","62010002","提交 PTW-mqosi57x-3","allow","allow (http 204)","true",""
"工作許可證","14","62000004","批核 PTW-mqosi57x-3 (安全主任)","allow","allow (http 200)","true",""
"工作許可證","15","62010001","批核 PTW-mqosi57x-3 (總承)","allow","allow (http 200)","true",""
"工作許可證","16","62030003","開單 PTW-mqosi57x-4","allow","allow (http 201) 1 row","true",""
"工作許可證","17","62030003","加內容版本 PTW-mqosi57x-4","allow","allow (http 201) 1 row","true",""
"工作許可證","18","62030003","提交 PTW-mqosi57x-4","allow","allow (http 204)","true",""
"工作許可證","19","62000004","批核 PTW-mqosi57x-4 (安全主任)","allow","allow (http 200)","true",""
"工作許可證","20","62010001","批核 PTW-mqosi57x-4 (總承)","allow","allow (http 200)","true",""
"工作許可證","21","62020003","開單 PTW-mqosi57x-5","allow","allow (http 201) 1 row","true",""
"工作許可證","22","62020003","加內容版本 PTW-mqosi57x-5","allow","allow (http 201) 1 row","true",""
"工作許可證","23","62020003","提交 PTW-mqosi57x-5","allow","allow (http 204)","true",""
"工作許可證","24","62000004","批核 PTW-mqosi57x-5 (安全主任)","allow","allow (http 200)","true",""
"工作許可證","25","62010001","批核 PTW-mqosi57x-5 (總承)","allow","allow (http 200)","true",""
"工作許可證","26","62040001","開單 PTW-mqosi57x-6","allow","allow (http 201) 1 row","true",""
"工作許可證","27","62040001","加內容版本 PTW-mqosi57x-6","allow","allow (http 201) 1 row","true",""
"工作許可證","28","62040001","提交 PTW-mqosi57x-6","allow","allow (http 204)","true",""
"工作許可證","29","62000004","批核 PTW-mqosi57x-6 (安全主任)","allow","allow (http 200)","true",""
"工作許可證","30","62010001","批核 PTW-mqosi57x-6 (總承)","allow","allow (http 200)","true",""
"工作許可證","31","62000004","越權開單","deny","deny (http 403) new row violates row-level security policy for table ""permits_to_work""","true",""
"機械/表格","1","62010001","總承加機械 #1 (excavation)","allow","allow (http 201) 1 row","true",""
"機械/表格","2","62010001","總承加機械 #2 (scaffold)","allow","allow (http 201) 1 row","true",""
"機械/表格","3","62010001","總承加機械 #3 (lifting_appliance)","allow","allow (http 201) 1 row","true",""
"機械/表格","4","62010001","總承加機械 #4 (excavation)","allow","allow (http 201) 1 row","true",""
"機械/表格","5","62010001","總承加機械 #5 (scaffold)","allow","allow (http 201) 1 row","true",""
"機械/表格","6","62010001","總承加機械 #6 (lifting_appliance)","allow","allow (http 201) 1 row","true",""
"機械/表格","7","62010003","判頭加機械","deny","deny (http 403) new row violates row-level security policy for table ""equipment_register""","true",""
"機械/表格","8","62000004","安全主任加機械 (v77)","allow","allow (http 201) 1 row","true",""
"機械/表格","9","62000004","安全主任 mint QR","allow","allow (http 200)","true",""
"機械/表格","10","62010003","判頭 mint QR","deny","deny (http 400) 沒有權限產生 QR","true",""
"機械/表格","11","62000001","PM 核實證書","allow","allow (http 204)","true",""
"機械/表格","12","62010003","判頭核實證書","deny","deny (http 400) 只有管理員 / PM / 安全主任可核實證書","true",""
"機械/表格","13","62010001","開表格項 (excavation)","allow","allow (http 201) 1 row","true",""
"機械/表格","14","62010003","合資格判頭簽表格 (competent_person)","allow","allow (http 200)","true","持 competent_person 牌"
"機械/表格","15","62010004","工人(無牌)簽表格","deny","deny (http 400) 你未有有效的合資格人士證明（需要 competent_person）","true",""
"機械/表格","16","62010001","開表格項 (scaffold)","allow","allow (http 201) 1 row","true",""
"機械/表格","17","62010003","合資格判頭簽表格 (competent_person)","allow","allow (http 200)","true","持 competent_person 牌"
"機械/表格","18","62010004","工人(無牌)簽表格","deny","deny (http 400) 你未有有效的合資格人士證明（需要 competent_person）","true",""
"機械/表格","19","62010001","開表格項 (lifting_appliance)","allow","allow (http 201) 1 row","true",""
